id,TA,TB,TC,TD,A,B,C,D
m316,166030,104657.3333,71195,63041,148550,133663.3333,54134,80407
m317,7228600,5472000,4974333.333,8622700,5859600,5993833.333,4850500,4421933.333
m318,158303.3333,142416.6667,1027393.333,1110073.333,152040,148606.6667,111040,121830
m319,53169,47811.33333,133723.3333,491110,36043.66667,37576,27214.66667,24618.33333
m320,16738.33333,25543.33333,11804,3228.066667,21196.33333,16567.33333,19588.33333,24985
m321,11396,9778.333333,10332.2,15070,11382,9140.8,13260.43333,8910.233333
m322,4974.9,2278.966667,2571.633333,3157.933333,4466.1,2453.733333,2697.7,2498.4
m323,83011.66667,62498.66667,57212,32695.66667,66159.33333,56408.33333,107483,96456.66667
m324,251360,123536.6667,132386.6667,377976.6667,325030,102774.6667,266183.3333,245130
m325,5598.133333,2455.7,2740.366667,8196.566667,7473.266667,2144.533333,5633.233333,5283.666667
m326,7900900,6173466.667,4913566.667,3624433.333,6310400,6217633.333,5140533.333,5238566.667
m327,37254.66667,37761.33333,40409,64246.33333,38280.33333,43737,28961,19853
m328,8559.7,8078.866667,6648.766667,9,16191.66667,10520.93333,10135.23333,10465.63333
m329,20082.33333,23986,20046.33333,19160.66667,22060.33333,22565,20044,21304.33333
m330,24608.66667,13999,10310.8,9802.233333,28996.66667,13178.33333,3979.666667,6569.333333
m331,27701.33333,23156.33333,25265.33333,26261.66667,22951.33333,24131.66667,18500,24724.66667
m332,27056.66667,20311.66667,25550.66667,29199.33333,26128.33333,27968.33333,26427.33333,25969.33333
m333,45166.66667,28581,30312,41593.33333,40167,28129.33333,16246.66667,19904.66667
m334,48884.33333,27927.66667,28988.66667,42423,41724.66667,31268.33333,16980,19618.33333
m335,8801.166667,11759.33333,9912.4,5984.266667,9975.233333,12735.33333,10779.2,12028.16667
m336,4003466.667,2773600,6516633.333,13220333.33,5610466.667,3943100,2891633.333,2662933.333
m337,27003.66667,28144,52762.66667,49244.66667,32790.33333,25128.66667,34620,54112.33333
m338,7226.7,4715,4807.133333,7826.2,4911.033333,5258.866667,4001.7,4616.3
m339,6083.3,3043.6,4568.766667,7456.7,4330.566667,4811.133333,3533.2,3670.266667
m340,393683.3333,197180,144280,119096.6667,301076.6667,177103.3333,130350,122120
m341,143400,100309.6667,60069,48089,152253.3333,112643.3333,90507.66667,103208.6667
m342,330430,158186.6667,124133.3333,123353.3333,292140,167636.6667,122260,93099
m343,4250566.667,5404600,2910133.333,1467866.667,2604766.667,2889133.333,2632766.667,2954500
m344,10483.2,6198.8,6716.066667,12420.33333,9202.333333,6351.166667,6129.566667,6112.633333
m345,31260.66667,22986.66667,18792,31211.66667,24461.66667,21117.66667,16272,14563.66667
m346,572790,628426.6667,637843.3333,353653.3333,393823.3333,459403.3333,645990,562400
m347,203116.6667,210106.6667,164823.3333,146136.6667,183080,195063.3333,237670,208230
m348,170130,141936.6667,136650,224863.3333,204070,145820,135716.6667,137676.6667
m349,4296.533333,3296.166667,10035.86667,35123,7564.366667,4813.7,9057.933333,10059.13333
m350,181130,163836.6667,561916.6667,1246533.333,250846.6667,281926.6667,357833.3333,320786.6667
m351,164083.3333,75546.33333,75921,86171,99694,88724,84050.66667,81349
m352,3373.633333,3272.7,2865.366667,2893.533333,3169.3,3011.233333,2685.366667,2569.566667
m353,22757,17128,18181.66667,17752,20398.66667,18923.33333,18486.33333,15934
m354,8423.766667,4516.333333,4371.6,12464.33333,6038.7,4075.733333,2569,2864.3
m355,3810.5,2554.433333,2291.566667,6558.266667,4050.166667,2708.166667,2067.533333,2482.966667
m356,20001.33333,16108.66667,40107,88767.33333,19101,15913,13742.33333,25012.66667
m357,20169.33333,15661.66667,37372.66667,95966.66667,20924.33333,14339,13021,29706.66667
m358,5811.933333,4920.566667,9482.533333,10461.1,8040.833333,5474.3,6910.833333,7914.266667
m359,8756.466667,9148.966667,9077.4,7418.533333,7983.233333,9296.466667,9191.8,8967.6
m360,13295.66667,8633,7504.4,19852.66667,11196.93333,7893.733333,6754.8,8174.133333
m361,3089.5,1729.9,1514.8,2183.366667,2146.833333,2112.166667,1515.2,1400.866667
m362,9054.033333,8735.766667,7906.9,8730.6,8432,7461.7,8289.766667,7627.566667
m363,11634.53333,8055.233333,7564.933333,21734,10039.46667,8400.033333,5992.1,6997.266667
m364,11916.43333,13749,38664.66667,65253.33333,8764.433333,11338.33333,13972.3,16276.33333
m365,34809.66667,44488,45416.33333,32998.33333,27868.66667,35396.66667,46812,44505.33333
m366,10552.13333,13385.66667,13760.33333,8118.133333,22486.33333,14260,12747.33333,12679
m367,5371.2,2802.9,6219.566667,4268.333333,5452.7,5721.5,3585.466667,3290.2
m368,2511.566667,1928.7,1896.333333,4951.433333,2353.766667,1588.6,1995.5,1503.266667
m369,647960,525773.3333,504296.6667,320656.6667,516076.6667,347253.3333,571853.3333,847383.3333
m370,421513.3333,358890,353936.6667,246683.3333,361760,239473.3333,425086.6667,509326.6667
m371,242896.6667,322513.3333,285870,240856.6667,191863.3333,270553.3333,415130,423176.6667
m372,71587.66667,37742.66667,37327.33333,31039,67745.33333,53886.66667,26846.33333,30936.66667
m373,31038.66667,28548.66667,51305.33333,34197,32481.66667,58678.66667,24919.66667,25032.33333
m374,336220,382130,1091100,3739066.667,254256.6667,273956.6667,190706.6667,222656.6667
m375,9195.533333,10753.9,10683.5,12995.43333,19615,7775.233333,6078.9,12934.3
m376,2092.333333,1403.433333,840.1033333,1147.56,1717.066667,1713.933333,1183.196667,1255.5
m377,13753000,11541666.67,11372166.67,14785000,10144933.33,11073666.67,8533400,9748266.667
m378,6556433.333,5675133.333,4858266.667,6959200,4857800,4803066.667,3930133.333,5069433.333
m379,38367333.33,32173666.67,29761333.33,38211666.67,30091666.67,31586666.67,25262666.67,29464000
m380,108202.6667,68360.66667,77712.33333,132123.3333,135866.6667,76122.66667,58760.33333,67229
m381,582870,690490,693370,489826.6667,504083.3333,600280,679526.6667,586830
m382,741110,912500,749550,592500,547123.3333,585346.6667,791133.3333,750910
m383,129636.6667,160596.6667,168220,38501.33333,71296.66667,123270,142040,138783.3333
m384,3557.8,1530.033333,1463.566667,6861.966667,4001.633333,1589.533333,739.9333333,9
m385,136506.6667,97730.33333,78351.33333,120287,133586.6667,113476.6667,77571.66667,83477
m386,119199.6667,147566.6667,116055.6667,118248.6667,88409.33333,114943.6667,135730,165963.3333
m387,2598.7,1987.3,2140.733333,7586.466667,2146.866667,2032.533333,1859.466667,1650.166667
m388,2278.866667,1481.44,3103.066667,1845,2701.966667,1749.3,1813.933333,2158.966667
m389,36413.66667,26171.33333,28442.33333,109691.6667,34335.66667,23415,20571.33333,25302
m390,54916,36987.33333,42351.33333,159470,50323,33802,32928.33333,36852.66667
m391,2021.7,3410.633333,3249.766667,1845.633333,2305.466667,3031.833333,3348.433333,4227.7
m392,282813.3333,298490,273723.3333,302256.6667,332376.6667,292660,303316.6667,304310
m393,211543.3333,290400,255250,218203.3333,259786.6667,305600,295286.6667,331826.6667
m394,680023.3333,836860,795800,642750,695996.6667,851920,808350,924076.6667
m395,631613.3333,427376.6667,774370,2431666.667,858756.6667,414886.6667,319916.6667,513500
m396,13395333.33,9791233.333,54762000,50057666.67,15778000,11623400,7506433.333,8305200
m397,248790,189386.6667,393610,485026.6667,199670,136990,202670,309606.6667
m398,1830333.333,1279366.667,9457200,8865400,2301266.667,1687933.333,856776.6667,1231200
m399,56766.66667,50592,59759.33333,84936.66667,38469.66667,39158.66667,75318.33333,76853
m400,75283,134163.3333,90874.33333,34810.33333,60684.33333,111502,102634.3333,94484.33333
m401,9910.666667,9881.733333,9725.066667,5756.766667,9791.733333,13847.66667,10296.53333,10963.66667
m402,7343966.667,6199400,7496633.333,9189100,5948966.667,4621066.667,5519466.667,5425533.333
m403,2109433.333,2314900,2459566.667,3585100,2266700,2141900,1886766.667,1962166.667
m404,84739,44281.66667,113487.3333,138616.6667,96879.66667,59162,53209.33333,51860.33333
m405,735876.6667,769216.6667,648046.6667,693003.3333,713646.6667,617376.6667,592136.6667,536903.3333
m406,695456.6667,635556.6667,554860,729976.6667,890110,600193.3333,607663.3333,520736.6667
m407,5000,9816.166667,6276,3471.2,5249.533333,9053.033333,11160.66667,7585.6
m408,15339.33333,12122.83333,18258.66667,31203.66667,18975.33333,9487.966667,8011.266667,10984.03333
m409,25375.66667,11439.46667,18524.33333,50888.66667,38283.66667,16721,12473,12800.06667
m410,24071.66667,27892,26601,18894.33333,29359,30604,35054,35991.66667
m411,106535,60337.66667,1219346.667,11348333.33,129803.3333,71692,108796.6667,84626.33333
m412,77544.66667,80169,65823.33333,48856,62617.66667,64647.66667,61537.66667,72357
m413,363883.3333,375813.3333,558063.3333,879010,345476.6667,282043.3333,481940,429910
m414,726260,556950,693503.3333,771403.3333,1088126.667,909463.3333,486050,733226.6667
m415,592463.3333,392233.3333,407920,593916.6667,644893.3333,737420,373973.3333,479413.3333
m416,1217223.333,948543.3333,980626.6667,1165756.667,1539200,1152910,715890,976273.3333
m417,15035,13000.33333,16022.33333,21540,18082.66667,17860.33333,18038.66667,11879
m418,1010790,849550,670613.3333,1170580,1044920,1106060,932646.6667,895770
m419,927053.3333,973460,985236.6667,800206.6667,1085143.333,1103006.667,824446.6667,942343.3333
m420,2377366.667,1625566.667,2232100,2217033.333,2514566.667,2603433.333,1349036.667,1865433.333
m421,35608.33333,9,322616.6667,2770433.333,9,9,9,9
m422,65585.66667,111123.3333,140353.3333,106048.3333,65222.66667,99043,210863.3333,234083.3333
m423,17456.33333,42388.33333,24339.33333,3747.333333,17828.66667,22965.33333,31343,26417.66667
m424,2960133.333,2709000,2734133.333,2260900,3071566.667,2626266.667,2673000,3056500
m425,29271.66667,15197.33333,23250,23504.66667,27991.66667,26108.66667,30469,27238.66667
m426,255890,250226.6667,365323.3333,465520,217086.6667,254603.3333,273683.3333,223113.3333
m427,434906.6667,296606.6667,343550,661486.6667,549616.6667,376070,279716.6667,285723.3333
m428,22433,18912.33333,17536,37544,31766.66667,22264.33333,16212.33333,18613.66667
m429,544156.6667,367616.6667,392646.6667,505350,540646.6667,483970,453516.6667,441016.6667
m430,184530,132110,170450,332226.6667,191840,153963.3333,154073.3333,170276.6667
m431,568900,640886.6667,783880,2491700,654630,606983.3333,1098033.333,1008670
m432,12120,16978.66667,14419.1,24114,7882.3,13307.33333,22388,21602.66667
m433,402790,523070,504943.3333,2057566.667,480790,440496.6667,738970,657496.6667
m434,2844.2,8999.166667,17377,3394.2,2972.133333,7552.6,17942.33333,18032.33333
m435,140740,69905.66667,93153.33333,177546.6667,128683.3333,97791.33333,85156.66667,101120
m436,147906.6667,92336.33333,112343.3333,188953.3333,135080,128410,107486.6667,115710
m437,22548.66667,29894.66667,21388.33333,9,28577,30476.66667,31705.66667,34320
m438,44420,43527,59057,195896.6667,47950.66667,32765.66667,48288,59412.66667
m439,19139,17016.86667,48534.66667,183520,27099.33333,16534,20221.66667,22832.33333
m440,53487,56058.66667,53317.33333,13675.66667,59372.66667,59723.66667,88633.66667,80463
m441,54785.66667,51079,34165.66667,24305.33333,45964,50815.33333,32198,42959.66667
m442,11040.6,4898.266667,6609.533333,10256.46667,19134,9241.1,6158.9,6264.633333
m443,6719.166667,6940.133333,4515.3,9754.533333,8509.4,7372.166667,9,6145.133333
m444,246003.3333,220383.3333,231160,289986.6667,246590,169026.6667,218773.3333,231846.6667
m445,34791.33333,27038.66667,23546,36724.33333,35839.33333,22593,22552.66667,24859
m446,350986.6667,684406.6667,646256.6667,256413.3333,394910,596240,748100,769406.6667
m447,36793.33333,41632.66667,24497.33333,8512.233333,95658.66667,79980.33333,37253,62022.33333
m448,67098.66667,65554.66667,46496.66667,33015,66318.33333,75793.33333,64598,68463.66667
m449,1954.233333,1754.733333,1807.133333,2260.3,1832.933333,2305.333333,2492.3,1983.233333
m450,435066.6667,475783.3333,552366.6667,805803.3333,454446.6667,359886.6667,404036.6667,467633.3333
m451,15375,24141,21563.33333,3771.8,17570.56667,22053,27714.66667,18033.66667
m452,2397133.333,1916600,1874400,2095166.667,2251733.333,1698966.667,1826133.333,1408033.333
m453,27420.33333,22092.66667,42335,25832.33333,35670.66667,27098,35884,26902.33333
m454,2239.233333,3578.333333,8644.333333,10400.23333,3552.233333,3779.033333,10801.16667,13910.33333
m455,816686.6667,454906.6667,972433.3333,2468333.333,1312533.333,827240,520396.6667,517766.6667
m456,82847,62611,119079.6667,315580,166866.6667,82655.33333,68297,67320
m457,68165.66667,89836.33333,73406.33333,38853,65690.33333,57491.33333,63312,79333.33333
m458,4151.8,2285.833333,5024.4,25765.66667,7300.033333,9,3956.866667,3358.6
m459,13578.33333,15068.66667,7867.133333,3464.566667,17061.56667,17928.33333,19743,15008
m460,90230.33333,74644,65462.33333,21160,74482,61576.33333,81651,89908
m461,65065,53064.66667,80993,106125,52588.66667,47372.66667,47912.66667,59749.66667
m462,15354.3,22815.33333,25550.33333,30995.33333,17219,16814.33333,10592.7,17761.33333
m463,11103000,8754633.333,10227966.67,6242800,9918333.333,9644466.667,9411966.667,8203900
m464,1362533.333,1274800,1313700,1123966.667,1165200,1329066.667,1030106.667,1135600
m465,4110666.667,3811066.667,3352000,1941733.333,4618033.333,3920733.333,3771800,4096533.333
m466,19319.66667,9,3913.266667,31996,19962.66667,9,9,3395.433333
m467,28540.33333,37545.33333,50316,127870.3333,40584.66667,37766.33333,26988.66667,27127.66667
m468,102116.6667,105397,110097,46913.66667,97355.33333,92920,87242,92418.66667
m469,16918,702.3333333,549.2333333,10494.13333,16933.66667,571.0666667,572.6,3546.366667
m470,74160.33333,7570.233333,10504.9,61477.66667,82621.33333,8561.9,6092.7,11911
m471,49904.66667,27610.33333,31670,50670.33333,36980.33333,27343.33333,27319,26798.33333
m472,10081,10889,10959.33333,12272.76667,10966.4,9677.7,12324.33333,11606.33333
m473,128013.3333,10506.23333,11123.93333,42963,116346.6667,13717.33333,11340.9,12868.33333
m474,14038,7197.066667,10402.86667,28949.66667,17048.66667,6486.3,9920.866667,13285.66667
m475,74450.33333,101627,123700,79654.66667,90229,79677.33333,105199.3333,99174
m476,107685.3333,18093.66667,34582.66667,169990,117666.6667,19503.66667,21013.66667,36266
m477,5961300,559006.6667,1136700,8401633.333,7165333.333,646016.6667,615516.6667,1044193.333
m478,29202,18378.66667,14939,20317.66667,21808,21966,18934,18744.33333
m479,65004.33333,27464,59290,148539.3333,80560.66667,56906,36553,38854
m480,17863.33333,13222.33333,518320,281396.6667,17198,18732,13621,18252.66667
m481,16054.66667,9,9,22248.66667,15366.66667,9,9,9
m482,5748.533333,2484.033333,4021.033333,15218,8672.466667,2865.933333,3012.233333,4413.666667
m483,1045853.333,499680,378680,407690,382846.6667,320240,374133.3333,409743.3333
m484,500520,45545,99423.66667,615816.6667,558506.6667,49075,63434.66667,95676.66667
m485,1022636.667,592940,1678000,2591900,1121533.333,594926.6667,1262166.667,1778200
m486,72574.33333,118283.3333,88770,112192.3333,75927.66667,87805,93172.66667,74763.66667
m487,2798466.667,261533.3333,533423.3333,3534966.667,2902800,302663.3333,308116.6667,426320
m488,8429633.333,3688333.333,7922266.667,13629666.67,8579366.667,3689366.667,7221733.333,10550133.33
m489,2732766.667,3044766.667,2393266.667,784693.3333,2700233.333,2743633.333,2413066.667,2609466.667
m490,11948233.33,7268566.667,6164300,15173666.67,9457300,6990366.667,4262833.333,5022133.333
m491,18488000,11407666.67,10834000,23213000,13854666.67,10099666.67,5572033.333,7242466.667
m492,548493.3333,44563.66667,86307.66667,789986.6667,578743.3333,59480.66667,42416,74079
m493,12718.6,4869.466667,4664.1,9911.4,15086.33333,5680.6,4505.366667,7825.566667
m494,520896.6667,235866.6667,259106.6667,299986.6667,532346.6667,265280,376246.6667,573213.3333
m495,3772,1350.846667,2095.4,2044.1,4697.066667,1711.633333,2671.633333,4864.466667
m496,12507.66667,8033.666667,5829.3,13984,24264,8152.266667,8626.733333,11568.83333
m497,10471.83333,5481.333333,4290.066667,10256.56667,17603,4644.433333,6627.533333,8618.433333
m498,21264.33333,2660.766667,5727.5,42780.66667,25507.33333,2866.9,4319.833333,5905.433333
m499,41944,31636.66667,264130,245033.3333,44452.33333,37208.66667,37962.66667,34737.33333
m500,407506.6667,69945.33333,10169900,17047000,79922,195030,36413,83008.33333
m501,5887.666667,3958.333333,4248.233333,8037.5,5624.5,2854.133333,2879.9,2115.7
m502,12583,5924.3,37931,167573.3333,14042,5794.933333,8235.766667,13557
m503,11292.8,6246.066667,33786.33333,171693.3333,15391.66667,6296.066667,9171.966667,14180.66667
m504,203936.6667,49560,75103.66667,147910,206630,69680.33333,65234,51609
m505,167123.3333,95085,132953.3333,303196.6667,187173.3333,95374.66667,141230,147980
m506,215313.3333,312663.3333,317400,31145.33333,401900,332176.6667,460980,417783.3333
m507,414350,222606.6667,266946.6667,789506.6667,700053.3333,224570,276803.3333,372316.6667
m508,6040566.667,1820266.667,4150866.667,20519000,8030866.667,2123633.333,2911733.333,3276966.667
m509,43538000,46205666.67,52467666.67,40284666.67,39163000,43791000,43832333.33,44796666.67
m510,54798,69392.33333,63987,48352,62491,76053.33333,82257,70941.66667
m511,54297,73384,69560.33333,48056.33333,62837.33333,80809,79979,77097
m512,24299.33333,22273.33333,45549,19065.66667,20451.33333,31899,60968,46547
m513,54048.66667,55736.33333,55373.66667,43821.66667,42425,57855.66667,46610.66667,56230
m514,25043.33333,18910,28017.66667,23597.33333,34967.33333,26162,43511.66667,27666.33333
m515,125103.3333,128944.6667,169230,207336.6667,133546.6667,165466.6667,516620,404660
m516,10799.53333,17482,17869.66667,25691.33333,11597.8,19010.33333,22788.33333,18668
m517,32472,2876.933333,6618.366667,137506.6667,35277.66667,2293.6,3644.233333,2653.566667
m518,34842.33333,26827.33333,45073.33333,94464,37712.33333,21452.66667,55590,82564.33333
m519,82861.33333,36104.33333,47153.33333,48639.33333,85603,36302.66667,78025.33333,92912.33333
m520,45082.66667,58210.33333,163030,192600,68695.66667,68484,65182,74368.66667
m521,64939,48996.33333,40842.33333,50169.66667,77947,46492,88230.66667,123293.3333
m522,15943,27768.33333,16739.66667,10490.66667,21459.33333,21258.66667,18046,18258
m523,143310,120309,119812.3333,140776.6667,186480,161536.6667,162820,168910
m524,55365.66667,19928,36618.33333,160463.3333,79161.33333,19889,30921.66667,40782.33333
m525,3127.3,2034.233333,2717.833333,6447.233333,5764.933333,2430.4,3154.466667,4591.833333
m526,8112966.667,7060566.667,15660666.67,23063666.67,8470533.333,6797900,5445333.333,6213600
m527,27532,32945.66667,29134,27974,44759,39238,40404.33333,32337.66667
m528,26833.33333,36454.33333,30775.33333,30687,42638.33333,38451,39702.66667,30646
m529,1882.366667,1235.593333,4356.2,8404.933333,2801.166667,1938.5,5134.966667,4470.6
m530,83465.33333,123726.6667,124363.3333,46768.33333,79880.66667,116859.6667,151020,129914
m531,67851,135836.6667,112546.6667,41768,76196.33333,97469,161940,117719
m532,8994.133333,17476.66667,7653.7,947.4666667,7754.533333,16528.33333,21072.66667,14336.96667
m533,4506.833333,6801.766667,4245.233333,3625.066667,6367.533333,5829.233333,8256.866667,5455.7
m534,424.0666667,2937.233333,4187.466667,2929.7,428.0666667,2893.266667,4404.5,3637.566667
m535,4445500,3005933.333,6787433.333,12979333.33,5437566.667,2911166.667,6766500,10791433.33
m536,511543.3333,143003.3333,536006.6667,2913733.333,648913.3333,164163.3333,256173.3333,233110
m537,21564000,13983000,25065666.67,40039666.67,26070000,13603000,30184333.33,39459666.67
m538,3070400,887876.6667,3091866.667,15915666.67,3641866.667,1057243.333,1318133.333,1715233.333
m539,740590,205806.6667,471826.6667,2522466.667,808153.3333,282870,243843.3333,296133.3333
m540,4616133.333,3211066.667,2905566.667,3517266.667,6391866.667,3376066.667,5384933.333,8640833.333
m541,287913.3333,314546.6667,214206.6667,85798.33333,272700,256646.6667,218130,269290
m542,18840.66667,9057.166667,8242.633333,34167.66667,28847.33333,10490.93333,14290.66667,22038.66667
m543,167360,47527.66667,101414.3333,509483.3333,203256.6667,58266,78751.33333,81380
m544,4174.866667,5666.7,5293.833333,2472.366667,3468.6,4146.8,4187.3,3418.9
m545,3729.9,1507.533333,2681.233333,3392.9,4850.3,1476.366667,3611.8,3231.233333
m546,3356.066667,1813.366667,3475,3198.6,3980.3,1425.466667,2720.466667,3780.333333
m547,12037,8636.4,8779,17670,15212,5999.7,15079.66667,25619
m548,205646.6667,142450,296100,547216.6667,299400,265966.6667,252483.3333,192416.6667
m549,31951,24219,31940,26114.33333,41461.33333,22429,54686.66667,64481.33333
m550,429516.6667,299456.6667,277986.6667,139146.6667,530476.6667,253630,699283.3333,893156.6667
m551,33719,17287.33333,36947,224693.3333,46275,17603.66667,21046,24595.33333
m552,62148.66667,45785.33333,41139,51877,88845.33333,42305.33333,71595.33333,105104.6667
m553,5029.8,855.69,1690.3,4900.666667,5978.7,1005.366667,1786.266667,9
m554,748.2133333,1072.333333,1518.033333,1227.5,1633.966667,1330.333333,1628.766667,920.3066667
m555,1358433.333,1379166.667,2471800,3913400,1857933.333,1766533.333,1485766.667,1180716.667
m556,8536.4,5738.266667,10351,14762.33333,6907.333333,3514.166667,6254.866667,5150.566667
m557,30302.33333,17368,12417.56667,3137,28129,17504,21974.33333,32728.66667
m558,141913.3333,194253.3333,21142.43333,9,35534.66667,152633.3333,112005,101242.3333
m559,1495.3,2472.866667,1510.6,533.3933333,1095.61,1886.8,2102.533333,2034.133333
m560,21343.33333,16643,25012,32914.66667,35976.33333,15701,23916,19600
m561,152473.6667,230866.6667,443236.6667,849340,296196.6667,203050,317990,335893.3333
m562,6286.533333,8641.6,2721.533333,4222.266667,5225.5,8870.733333,9225,7197.633333
m563,2030766.667,1637066.667,759610,630540,1377233.333,1415533.333,1119966.667,1498533.333
m564,5047433.333,4931433.333,3015566.667,3379433.333,4005500,4022200,3692800,3236733.333
m565,2122400,2289100,1416466.667,1799800,2047566.667,1948266.667,1864766.667,1633066.667
m566,109435.6667,95207.33333,536680,2528166.667,52523.33333,82811.33333,48488.33333,45383.66667
m567,93848.33333,73421.66667,672646.6667,3036700,64087.33333,75217.66667,65648,63363.33333
m568,91729,97789,521510,2210133.333,66972.33333,61061.33333,48196,72802.66667
m569,74430,79970.66667,217380,383633.3333,84730.66667,63007.33333,58228,56609.66667
m570,33654.66667,31243.66667,117370,398520,36060.33333,35713.33333,67414,60889
m571,22522,31123.33333,22138.33333,33944,44194.33333,44768.66667,44124.66667,33931
m572,25529,32890.33333,24679,33394,46897,57050.33333,46309.33333,37961.66667
m573,16290.66667,16679,10114.33333,21921.66667,25669,20567,23875,21406.66667
m574,17162,17115,11066.6,18432.66667,23181.33333,16619,22467.66667,23005
m575,2182566.667,2765833.333,1406366.667,303116.6667,2593400,3354466.667,3684566.667,3554066.667
m576,9972.266667,11046.46667,9585.933333,25870.66667,14283.66667,10638.13333,19548.66667,15720
m577,12270.8,14005.6,23098,42016.66667,22190,19976.6,43985.66667,31759
m578,13174.46667,15886,12127.3,31464,10255.33333,9490.533333,7317.666667,7701.3
m579,267726.6667,290986.6667,944330,4859433.333,270733.3333,206740,261310,258616.6667
m580,6359633.333,6536033.333,10021833.33,15865000,6174933.333,5951600,6081233.333,6342433.333
m581,6168133.333,6241100,11988333.33,15346000,6160333.333,6450500,5703966.667,6431333.333
m582,1619966.667,1494873.333,1521400,1066090,2161233.333,2032133.333,1476866.667,1585900
